,1961 [1961],1962 [1962],1963 [1963],1964 [1964],1965 [1965],1966 [1966],1967 [1967],1968 [1968],1969 [1969],1970 [1970],1971 [1971],1972 [1972],1973 [1973],1974 [1974],1975 [1975],1976 [1976],1977 [1977],1978 [1978],1979 [1979],1980 [1980],1981 [1981],1982 [1982],1983 [1983],1984 [1984],1985 [1985],1986 [1986],1987 [1987],1988 [1988],1989 [1989],1990 [1990],1991 [1991],1992 [1992],1993 [1993],1994 [1994],1995 [1995],1996 [1996],1997 [1997],1998 [1998],1999 [1999],2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019]
Nigeria [159],1375000,1120000,1140000,1471000,1404000,1145000,1163000,1095000,1371000,1449000,1218000,1115000,1246000,579000,971000,892000,610000,519000,425000,465000,438000,556000,1058000,1050000,1556000,2800000,3408000,3212000,3590000,5104000,5142000,5223000,5309000,5426000,5472000,4273400,4200000,3884000,3423000,3159000,3283000,3282000,3469000,3479000,3589000,3905000,3944000,3845000,3350560,4149310,5456540,5751300,5762700,6346551,6771189,6579692,6540000,4853349,
Nigeria [159],1107000,991000,1167000,1118000,1160000,975000,950000,1126000,1255000,1443000,1274000,639000,808000,528000,1332000,1068000,650000,658000,488000,612000,720000,766000,1027000,1196000,1826000,3550000,4612000,5268000,5008000,5768000,5810000,5840000,6290000,6902000,6931000,5667000,5254000,5127000,5476000,4107000,4596000,4890000,5203000,5567000,5957000,7100000,6724000,7525000,7358260,7676850,8878456,8694900,8422670,10058968,10562050,11547980,10420000,10155027,
Nigeria [159],"805,1","884,8","1023,7",760,"826,2","851,5","816,9","1028,3","915,4","995,9",1046,"573,1","648,5","911,9","1371,8","1197,3","1065,6","1267,8","1148,2","1316,1","1643,8","1377,7","970,7",1139,"1173,5","1267,9","1353,3","1640,1",1395,"1130,1","1129,9","1118,1","1184,8",1272,"1266,6","1326,1",1251,1320,"1599,8","1300,1","1399,9","1489,9","1499,9","1600,2","1659,8","1818,2","1704,9","1957,1","2196,1","1850,2","1627,1","1511,8","1461,6",1585,"1559,9","1755,1","1593,3","2092,4",
Russian Federation [185],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795450,786880,524100,629600,463000,845500,501500,542400,720900,467300,546800,659100,870400,794848,971000,1296250,1731700,1122191,1025181,1602609,1937542,2321860,2599531,2670059,2777019,2702425,2375641,
Russian Federation [185],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2135210,2441080,891950,1738440,1081038,2652012,799940,1033569,1489399,808360,1499425,2030896,3372956,3060164,3510351,3798020,6682300,3963433,3084351,6962438,8212924,11634943,11332138,13173296,15281594,13208095,11419020,
Russian Federation [185],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2684,3","3102,2","1701,9","2761,2","2334,9","3136,6","1595,1","1905,5",2066,"1729,9","2742,2","3081,3","3875,2",3850,"3615,2",2930,"3858,8","3531,9","3008,6","4344,4","4238,8",5011,"4359,3","4933,7","5502,9","4887,5","4806,7",
South Africa [202],4118000,4341000,4339000,4433000,4290000,4241000,4589000,4728000,4387000,4418000,4796000,4968000,3975000,4820000,4792000,4989000,4706000,4412000,4566000,4563000,4488000,4664000,4680000,4839000,4502000,4829000,5063000,4736000,4394000,4163000,3816000,4173000,4377000,4661000,3526000,3761000,4023060,3559750,3567383,4012000,3189000,3533459,3650904,3204110,3223000,2032446,2551800,2799000,2427500,2742000,2372300,2699200,2781200,2688200,2652850,1946750,2628600,2318850,
South Africa [202],5293000,6024000,6127000,4310000,4608000,5161000,9802000,5358000,5378000,6179000,8644000,9525000,4202000,11083000,9139000,7518000,9793000,10205000,8475000,11040000,14872000,8781000,4399000,4797000,8444000,8600000,7890000,7670000,12481000,9180000,8614000,3277000,9997000,13275000,4866000,10171000,10136000,7693000,7946000,11431183,7772000,10076000,9705000,9710070,11715948,6935056,7125000,12700000,12050000,12815000,10360000,12120656,11810600,14250000,9955000,7778500,16820000,12510000,
South Africa [202],"1285,3","1387,7","1412,1","972,3","1074,1","1216,9",2136,"1133,2","1225,9","1398,6","1802,3","1917,3","1057,1","2299,4","1907,1","1506,9",2081,2313,"1856,1","2419,5","3313,7","1882,7",940,"991,3","1875,6","1780,9","1558,4","1619,5","2840,5","2205,1","2257,3","785,3",2284,"2848,1",1380,"2704,3","2519,5","2161,1","2227,4","2849,2","2437,1","2851,6","2658,2","3030,5","3635,1","3412,2","2792,1","4537,3",4964,"4673,6","4367,1","4490,5","4246,6","5300,9","3752,6","3995,6","6398,8","5394,9",
USSR [228],7145000,7005000,6995000,5114000,3177000,3229000,3485000,3350000,4167000,3353000,3332000,4012000,3303000,3955000,2652000,3303000,3362000,2535000,2663300,2970400,3540600,4161000,3894000,3919000,4482000,4223000,4573000,4431000,4120000,2837000,2972000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSR [228],17113008,15474000,11143000,13849000,8030000,8416000,9163000,8828000,11954000,9428000,8597000,9830000,10138000,12104000,7328000,10138000,11000000,9000000,8374000,9454000,9418000,14720000,13293000,13573000,14406000,12479000,14808000,16030000,15305000,9883000,9788000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSR [228],"2395,1",2209,1593,"2708,1","2527,5","2606,4","2629,3","2635,2","2868,7","2811,8","2580,1","2450,1","3069,3","3060,4","2763,2","3069,3","3271,9","3550,3","3144,2","3182,7",2660,"3537,6","3413,7","3463,4","3214,2",2955,"3238,1","3617,7","3714,8","3483,6","3293,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
United States of America [231],23323008,22551008,23968000,22407008,22416032,23067568,24561648,22653984,22085008,23211632,25949296,23274368,25148032,26468096,27366480,28937056,28980752,29109344,29298800,29525904,30158400,29427904,20834000,29095008,30436000,27885008,24080000,23573008,26216000,27094800,27851580,29168840,25468360,29345690,26389830,29398300,29409230,29376040,28525380,29315740,27829720,28057160,28710330,29797730,30399100,28586490,35013780,31796490,32168810,32960380,33944990,35355740,35390550,33644310,32678310,35106050,33481220,33079360,32950670
United States of America [231],91388000,91604000,102093008,88504000,104216928,105861408,123458304,113022816,119055936,105471120,143420656,141733312,144041760,119420320,148361072,159751184,165234544,184613008,201383008,168647008,206222000,209180000,106030000,194880000,225453008,208943008,181142000,125194000,191319008,201532000,189867780,240719220,160985760,255294970,187969950,234517750,233864300,247882020,239548580,251853900,241376650,227766880,256229020,299875570,282262550,267502850,331177280,305911450,331921050,315617920,312788890,273192400,351271870,361091140,345486340,412262180,397602890,392450840,347047570
United States of America [231],"3918,4","4062,1","4259,6","3949,8","4649,2","4589,2","5026,5","4989,1","5390,8","4543,9",5527,"6089,7","5727,8","4511,9","5421,3","5520,6","5701,5","6342,1","6873,4","5711,8",6838,"7108,2","5089,3","6698,1","7407,4",7493,"7522,5","5310,9","7297,8",7438,"6817,1","8252,6",6321,"8699,6","7122,8","7977,3","7952,1","8438,2","8397,7","8591,1","8673,3",8118,"8924,6","10063,7","9285,2","9357,7","9458,5","9620,9","10318,1","9575,7","9214,6",7727,"9925,6","10732,6","10572,3","11743,3","11875,4","11863,9",
União Européia [1],8796045,8222430,8645842,8405128,8183265,8273927,8233918,8434513,8623356,8801575,9089057,9445323,9188615,9032155,9506339,8988193,9169588,9080167,9610935,9092056,8619879,8462504,8559333,8797125,8813828,8741692,8465910,8570182,8570213,7693011,8384935,9643089,9346080,9160103,9004888,9591400,9516947,9367387,9360207,9445249,9862243,9591593,10065039,10389289,9310924,8910085,8379159,9230449,8735239,8321851,9307115,9843983,9787148,9580090,9228664,8524774,8253472,8246368,8917080
União Européia [1],18502301,16872095,21111432,20721819,19656632,24485846,23081070,25182022,28791558,29366024,33141477,35754698,36402290,33386339,37091943,34833747,38397085,39157542,44702917,41345875,40421938,46138408,43536309,44574727,47713112,48255644,44498240,45931845,45272897,37007691,50206342,45966814,47484378,47671168,49509037,55349538,64395615,55450971,61063314,52757949,63281266,62357089,54024458,73848833,65392054,58332601,51387637,66282309,60592637,59828897,70700755,59608425,67013862,77575369,59264767,62960158,65146980,69207039,70092950
União Européia [1],"30053,1","28927,2","33096,9","33414,4","32669,7","38391,3","51638,2","40585,7","43981,4","47217,1","52068,2","49884,2","54281,2","51527,4","57074,6","52586,1","60319,2","59894,7",60053,"60061,2","62068,2","68879,4","66272,2","64250,9",74766,"76469,8","72996,5","74709,5","76973,8","71566,7","78310,9","79166,7","95071,2","92391,2","99421,1","104829,5","113979,2","113252,3","115165,5","127291,3","134239,2","141057,3","115489,6","142911,1","147159,6","133206,2","141673,7","151774,9","151949,8","158889,7","170678,6","152421,7","157891,7","179197,6","150958,4","173335,7","171601,2","167300,6",
Ukraine [230],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137060,1331000,651900,1161300,671300,1636500,907900,688700,1278800,1122800,1188700,1988800,2299600,1659500,1720300,1902800,2440100,2089100,2647600,3543700,4371900,4826900,4626900,4083500,4252200,4480700,4564200,4986900
Ukraine [230],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850839,3786000,1539400,3391800,1837000,5339500,2300800,1736900,3848100,3640700,4180300,6875100,8866800,7166600,6425600,7421100,11446800,10486300,11953000,22837900,20961300,30949550,28496810,23327570,28074610,24668750,35801050,35880050
Ukraine [230],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2507,2","2844,5","2361,4","2920,7","2736,5","3262,8","2534,2",2522,"3009,1","3242,5","3516,7","3456,9","3855,8","4318,5","3735,2","3900,1","4691,1","5019,5","4514,7","6444,6","4794,6","6411,9","6158,9","5712,6","6602,4","5505,6","7843,9",
